loss,auc,val_loss,val_auc
0.08596542477607727,0.7492066621780396,0.07650377601385117,0.7952764630317688
0.07656209915876389,0.8006153106689453,0.07281249761581421,0.8204439878463745
0.07514426112174988,0.8100671172142029,0.07142787426710129,0.8167874813079834
0.07407981902360916,0.816764235496521,0.07044375687837601,0.8244861960411072
0.073417067527771,0.8207433223724365,0.07145633548498154,0.829160213470459
0.07282289862632751,0.8250111937522888,0.06956862658262253,0.8348641395568848
0.07243700325489044,0.8276376724243164,0.06882912665605545,0.8366389870643616
0.07209966331720352,0.8299801349639893,0.06930575519800186,0.8410844206809998
0.07171305269002914,0.8327266573905945,0.06861846894025803,0.8406612873077393
0.07146298885345459,0.8355844616889954,0.06965693831443787,0.8373340368270874
0.07132038474082947,0.8368604779243469,0.067757248878479,0.8437343239784241
0.07105475664138794,0.8397752642631531,0.06804060190916061,0.8443335294723511
0.07083983719348907,0.8403783440589905,0.06841607391834259,0.8417868614196777
0.07066097110509872,0.8410289287567139,0.06820730865001678,0.84634929895401
0.07060220837593079,0.8424285650253296,0.06760313361883163,0.8484832644462585
0.07040838897228241,0.8429867029190063,0.06955147534608841,0.8427996039390564
0.070231594145298,0.8445303440093994,0.06809809803962708,0.8469248414039612
0.0699877217411995,0.8462798595428467,0.06762854009866714,0.8481115698814392
0.07003145664930344,0.845704972743988,0.0670364648103714,0.8507053852081299
0.06986478716135025,0.8474161624908447,0.06812341511249542,0.8526257872581482
0.06961773335933685,0.8476956486701965,0.06962867826223373,0.8444899320602417
0.06955660879611969,0.8492064476013184,0.06761623173952103,0.8507696986198425
0.06945543736219406,0.849083423614502,0.06578350067138672,0.8564528226852417
0.06938745826482773,0.8501602411270142,0.0663689374923706,0.8542382717132568
0.06932912021875381,0.8508970737457275,0.0663149282336235,0.8567982912063599
0.0692579448223114,0.8513006567955017,0.06783938407897949,0.8511862754821777
0.0691424161195755,0.85185307264328,0.06601203233003616,0.8564898371696472
0.06901434808969498,0.8526906967163086,0.06700669974088669,0.8552181720733643
0.06893254071474075,0.8519465327262878,0.06740070879459381,0.8543322086334229
0.06885172426700592,0.8527613878250122,0.06606566905975342,0.8563982844352722
